Veterinaria;Metropolitana;Conchalí;Diego Silva Henríquez 1283;-;Centro de acopio;Para animales;11:00 a 19:30;-;-;-;-70.662968;-33.384031;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Veterinaria;Metropolitana;Pudahuel;Laguna Sur 7001;-;Centro de acopio;Para animales;-;-;-;-;-70.732910;-33.461415;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Veterinaria;Metropolitana;La Reina;Francisco Bilbao 7445;-;Centro de acopio;Para animales;11:00 a 20:00;-;-;-;-70.554875;-33.430642;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Veterinaria;Metropolitana;Ñuñoa;Alcalde Jorge Monckeberg 595;-;Centro de acopio;Para animales;-;-;-;-;-70.584554;-33.460159;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Séptima Compañía de Bomberos;Metropolitana;Maipú;El Descanso 644;-;Centro de acopio;Varios;-;-;-;-;-70.749098;-33.470218;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Bote Salvavidas de Valparaíso;Valparaíso;Valparaíso;Muelle Prat s/n primer piso;Santa Olga;Centro de acopio;Varios;-;-;322692477;322217016;-71.627652;-33.037039;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Quinta Compañia de Bomberos de Valparaíso;Valparaíso;Valparaíso;Freire 171;-;Centro de acopio;Varios;-;-;322214867;-;-71.614357;-33.044425;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
13va Compañia de Bomberos de Placilla;Valparaíso;Valparaíso;Cardenal Samoré 930;-;Centro de acopio;Varios;-;-;322291066;-;-71.574301;-33.118739;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Cuarta Compañía de Bomberos;Valparaíso;Viña del Mar;Doce Norte con Quillota;-;Centro de acopio;Varios;-;-;-;-;-71.541608;-33.012591;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Octava Compañía de Bomberos de Reñaca;Valparaíso;Reñaca;Balmaceda con Torrealba;-;Centro de acopio;Varios;-;-;-;-;-71.537950;-32.972237;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Universidad del Aconcagua;Valparaíso;San Felipe;Miraflores 260;-;Centro de acopio;Varios;-;-;-;-;-70.708990;-32.750067;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Colegio Sek Pacífico;Valparaíso;Concón;San Estalisnao 50;-;Centro de acopio;Varios;-;-;322275700;-;-71.533600;-32.940440;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Sexta Compañía de Bomberos;Valparaíso;Concón;Vergara 1115;-;Centro de acopio;Varios;-;-;322811555;-;-71.512636;-32.926029;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Plaza de Armas de Quilllota;Valparaíso;Quilllota;O`Higgins 214;-;Centro de acopio;Varios;10:00 a 17:30;-;-;-;-71.247394;-32.880091;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Cuerpo de Bomberos de San Esteban;Valparaíso;Los Andes;Av. Santa Teresa 31;-;Centro de acopio;Varios;-;-;342480102;-;-70.597356;-32.833838;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Instituto Chacabuco;Valparaíso;Los Andes;Av. Argentina 201;Pumanque;Centro de acopio;Varios;Desde 10:00;vi 27 de enero;-;-;-70.594841;-32.830211;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Veterinaria;O'Higgins;Santa Cruz;Rafael Casanova 590;-;Centro de acopio;Para animales;-;-;-;-;-71.372595;-34.641328;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Veterinaria;O'Higgins;Pichilemu;Comercio con Suarez;-;Centro de acopio;Para animales;-;-;-;-;-72.013791;-34.389896;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Veterinaria;O'Higgins;Machalí;Av. San Juan 2044 casa 1;-;Centro de acopio;Para animales;-;-;-;-;-70.663755;-34.169975;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Fundación Amigos de los animales ADLA;O'Higgins;Rancagua;San Rafael Arcángel 1665;-;Centro de acopio;Para animales;-;-;-;-;-70.737799;-34.125676;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Hospital de Rancagua;O'Higgins;Rancagua;Av. Libertador Bernardo OHiggins 611;-;Centro de acopio;Varios;-;-;722541856;-;-70.741698;-34.164590;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Veterinaria;Maule;Linares;Colo Colo 486;-;Centro de acopio;Para animales;15:00 a 20:00;-;-;-;-71.597622;-35.850223;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Cruz Roja;Maule;Linares;Yumbel 466;-;Centro de acopio;Varios;-;-;732210282;-;-71.593333;-35.847675;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Gimnasio Enrique Don Müller;Maule;Constitución;Rosas 501;-;Centro de acopio;Varios;-;-;-;-;-72.409183;-35.338042;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Colegio Santo Tomás;Maule;Talca;Ruta K-620 con Ruta k-610;-;Centro de acopio;Varios;-;-;712342460;-;-71.692435;-35.455304;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Universidad Santo Tomás. Sede Carlos Schorr;Maule;Talca;Carlos Schorr 255;-;Centro de acopio;Varios;Hasta 19:00;-;712342300;-;-71.673516;-35.428948;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Escuela Básica Talca;Maule;Talca;Ocho Oriente 841;-;Centro de acopio;Varios;8:30 a 20:00;vi 27 de enero otros días confirmar;712232782;-;-71.655957;-35.431061;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Inacap;Maule;Talca;Av. San Miguel 3483;-;Centro de acopio;Varios;10:00 a 18:30;-;-;-;-71.624248;-35.436469;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Cesfam Leocan Portus;Biobio;Talcahuano;Manuel Barros Borgoño 2645;-;Centro de acopio;Varios;-;-;412597373;-;-73.088261;-36.744168;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Sede Club Buena Vista;Biobio;Talcahuano;Baldomero Lara 150;-;Centro de acopio;Varios;-;-;-;-;-73.122433;-36.715087;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
DUOC UC sede San Andrés;Biobio;Concepción;Paicaví 3280;-;Centro de acopio;Varios;-;-;412268200;-;-73.061742;-36.796069;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Casa del profesor;Biobio;Tomé;Los Cerezos s/n interior;-;Centro de acopio;Varios;-;-;-;-;-73.050527;-36.827625;www.radiovillafrancia.cl;Mónica Pinto  Geógrafa. Universidad de Chile. Profesional independiente  Recoleta
Catedral de Concepción;Biobio;Concepción;-;-;Centro de acopio;Varios;-;-;412223701;-;-73.050980;-36.827524;www.radiovillafrancia.cl;Mónica Pinto  SMajluf
Plaza de armas de Concepción;Biobio;Concepción;-;-;Centro de acopio;Varios;-;-;-;-;-73.050195;-36.827143;www.radiovillafrancia.cl;Mónica Pinto
Escuela Juan Verdaguer;Metropolitana;Recoleta;Purísima 260;-;Centro de acopio;Alimentos no perecibles pañales toallas higiénicas mascarillas y bidones de agua.;8:30 a 17:00;lu a vi sáb por confirmar;-;-;-70.638328;-33.431014;red social personal;Mónica Pinto
